Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
56682887,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,Fröstsjöberget,1343835,6921100,100,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,1
56682888,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,Ruta 17C4i,1342555,6922555,2500,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,1
62233258,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,"Fröstsjöberget, ca 10 km sydost om Tännäs kyrka",1343968,6920916,10,0,Jämtland,Härjedalen,Härjedalen,Tännäs,,2016-09-25,,2016-09-25,,,,False,False,,False,,"i nedre delen av branten, äldre granskog, örtrik flora",,,,,,på marken,,,774,774,, ,,,,,,,Fredrik Jonsson,Fredrik Jonsson,"Ulrika Nordin, Fredrik Jonsson",,,1
62285444,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,1.5 km S Fjätbodarna,1351500,6883500,1000,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-06,,1994-08-06,,Dalafloran [646]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
62272827,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,"Fjätälven , intill lv- bron",1365500,6844500,1000,0,Dalarna,Älvdalen,Dalarna,Särna,,1992-01-01,,1992-12-31,,Dalafloran [582]   sparsamt,,False,False,,False,,vägslänt - örtrik skog,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,2
62280140,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,Hornbergets O-brant samt myrar nedom till Kimbäcken ( krysslista ),1367500,6842500,2500,0,Dalarna,Älvdalen,Dalarna,Särna,,1992-01-01,,1992-12-31,,Dalafloran [604]   Dabs fjällinv.,,False,False,,False,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,2
56682910,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,Ruta 17D1j,1397555,6907555,2500,0,Jämtland,Härjedalen,Härjedalen,Linsell,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,3
56682935,93776,Ovaliderad,,Smultron,Fragaria vesca,L.,noterad,,,,,,,,,Ruta 16E7d,1417555,6887555,2500,0,Jämtland,Härjedalen,Härjedalen,Sveg,,1965-01-01,,1994-12-31,,,,False,False,,False,,Skogsmark,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,3
