Id,Taxonsorteringsordning,Valideringsstatus,Rödlistade,Artnamn,Vetenskapligt namn,Auktor,Antal,Enhet,Ålder/stadium,Kön,Aktivitet,Längd,Vikt,Metod,Huvudlokal,Lokalnamn,Ostkoordinat,Nordkoordinat,Noggrannhet,Diffusion,Län,Kommun,Provins,Församling,Externid,Startdatum,Starttid,Slutdatum,Sluttid,Kommentar,Privat kommentar,Ej återfunnen,Osäker artbestämning,Bestämningsmetod,Ospontan,Biotop,Biotopbeskrivning,Substrat,Vetenskapligt Substratnamn,Beskrivning,Substrat,Antal substrat,Substratbeskrivning,Djup min,Djup max,Höjd min,Höjd max,Publik samling,Privat samling,Samlingsnummer,Samlingsbeskrivning,Artbestämd av,Bestämningsår,Bekräftad av,Bekräftelseår,Redigeringsansvarig,Rapportör,Observatörer,DNA sekvens,Projektnamn,Area
55179464,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad, , , ,,,,,,"Lillfjäten, betesmark",1352232,6877067,100,0,Dalarna,Älvdalen,Dalarna,Idre,,2015-06-05,,2015-06-05,,,,FALSE,FALSE,,FALSE,,,,,,,,,,,,,, ,,,,,,,Urban Gunnarsson,Urban Gunnarsson,Urban Gunnarsson,,,1
62277308,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad,,,,,,,,,N om Fjätbodarna längs Lill-Fjätan,1351500,6885500,1000,0,Dalarna,Älvdalen,Dalarna,Idre,,1994-08-06,,1994-08-06,,Dalafloran [597]   Dabs fjällinv.,,FALSE,FALSE,,FALSE,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,"Berndt Carrington, Jan Edelsjö, Lennart Bratt",,Dalaflorans databas,1
56687016,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad,,,,,,,,,Sexan och Olingans sammanflöde,1415180,6843695,50,0,Jämtland,Härjedalen,Härjedalen,Lillhärdal,,1965-01-01,,1994-12-31,,Torleif Bramryd,,FALSE,FALSE,,FALSE,,Strand,,,,,,,,,,,, ,,,,,,,Staffan Åström,Staffan Åström,Bengt Danielsson,,Härjedalens kärlväxtflora 1994,2
62473783,95031,Ovaliderad,,Fyrkantig johannesört,Hypericum maculatum,Crantz,noterad,,,,,,,,,Ulvsjön,1414150,6832750,500,0,Dalarna,Mora,Dalarna,Mora,,1996-01-01,,1997-12-31,,Dalafloran [372]   Naturskyddsförenings i nv. av Ansjovarden-Stopån 1986-87   [Björnramen],,FALSE,FALSE,,FALSE,,,,,,,,,,,,,, ,,,,,,,Inge Palmqvist,Inge Palmqvist,Bengt Oldhammer,,Dalaflorans databas,2
